timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
1440,0.05,0.02,0.0,16952324096,16926896128,532742144,5067427840,870928384,6782763008,8080035840,1.35,979.8,2135.4,1.75,0.0021999999999934,204.8,19865.6,0.05,1.8,0.0024999999999863,0.0164999999999963,0.0205000000001746,2
1470,0.08,0.04,0.01,16952324096,16926896128,524644352,5068681216,870932480,6775959552,8080035840,1.05,1212.75,3747.7,0.0,0.0021999999999934,0.0,38912.0,0.0,3.0,0.0050000000000181,0.0290000000000873,0.0829999999999927,2
1500,0.21,0.06,0.02,16952324096,16926896128,536174592,5068910592,870932480,6787702784,8080035840,2.45,1084.75,2521.25,0.05,0.0021999999999934,0.0,31539.2,0.0,2.8000000000000003,0.0019999999999981,0.018499999999949,0.0214999999998326,2
1530,0.13,0.06,0.01,16952324096,16926896128,522625024,5069352960,870932480,6774591488,8080035840,1.95,1427.3000000000002,2322.5,1.65,0.0016000000000531,0.0,17817.600000000002,0.0,0.8,0.0024999999999636,0.0149999999999636,0.0170000000001891,2
1560,0.15,0.07,0.02,16952324096,16926896128,331890688,5069164544,870932480,6583709696,8080035840,2.25,1342.9,2815.3,1.7000000000000002,0.0029999999999745,0.0,84992.0,0.0,7.9,0.0039999999999736,0.0215000000001055,0.150499999999738,2
1590,0.09,0.06,0.01,16952324096,16926896128,333934592,5069848576,870936576,6586400768,8080035840,1.35,1693.45,2669.75,1.6,0.0016000000000531,0.0,41984.0,0.0,7.0,0.00300000000002,0.0125,0.0155000000000654,2
1620,0.18,0.08,0.02,16952324096,16926896128,525156352,5072592896,870944768,6780424192,8080035840,7.2,1205.95,3827.8,1.65,0.0020000000000436,0.0,45260.8,0.0,1.1,0.0035000000000081,0.0519999999999527,0.0454999999998108,2
1650,0.11,0.08,0.02,16952324096,16926896128,547053568,5073747968,870944768,6803410944,8080035840,1.65,1075.3,2613.5,1.8,0.0020000000000436,0.0,49152.0,0.0,1.5,0.0039999999999963,0.0215000000001964,0.0210000000004583,2
1680,0.07,0.07,0.02,16952324096,16926896128,528957440,5073899520,870948864,6785478656,8080035840,1.95,1043.85,2332.9500000000003,1.7000000000000002,0.0018000000000029,0.0,21913.6,0.0,2.6500000000000004,0.0030000000000427,0.0159999999998944,0.0215000000000145,2
1710,0.04,0.06,0.01,16952324096,16926896128,526987264,5073924096,870948864,6783533056,8080035840,1.05,1014.15,2057.8,0.15,0.0014000000000123,0.0,19456.0,0.0,2.0500000000000003,0.0039999999999963,0.0095000000002073,0.0109999999996944,2
1740,0.02,0.05,0.01,16952324096,16926896128,527187968,5074075648,870948864,6783885312,8080035840,1.3,1000.85,2137.65,1.65,0.0018000000000029,0.0,27443.2,0.0,2.3000000000000003,0.0035000000000536,0.011999999999989,0.019999999999527,2
1770,0.16,0.08,0.02,16952324096,16926896128,518225920,5076017152,870948864,6776705024,8080035840,6.45,1273.35,4244.35,1.8,0.0018000000000029,0.0,33996.8,0.0,1.0,0.0049999999999954,0.0604999999997744,0.0940000000000509,2
1800,0.1,0.07,0.02,16952324096,16926896128,534532096,5076180992,870952960,6793273344,8080035840,1.4500000000000002,1016.65,2096.55,1.7000000000000002,0.0027999999999337,0.0,119193.6,0.0,2.25,0.0039999999999963,0.0150000000000545,0.0150000000001455,2
1830,0.06,0.06,0.01,16952324096,16926896128,533078016,5076189184,870952960,6791827456,8080035840,0.8500000000000001,949.3,1835.75,3.25,0.0020000000000436,0.0,13312.0,0.0,0.95,0.0034999999999854,0.0109999999999672,0.0134999999998399,2
1860,0.03,0.06,0.01,16952324096,16926896128,530288640,5076226048,870957056,6789074944,8080035840,1.25,986.7,1956.2,0.15,0.0018000000000029,0.0,16179.2,0.0,1.8,0.0030000000000427,0.0110000000000582,0.0149999999999636,2
1890,0.02,0.05,0.01,16952324096,16926896128,530264064,5076221952,870961152,6789058560,8080035840,0.8500000000000001,982.35,1931.5,0.05,0.0018000000000029,0.0,14131.2,0.0,2.0500000000000003,0.0019999999999754,0.0085000000000036,0.0164999999999054,2
1920,0.09,0.06,0.01,16952324096,16926896128,530362368,5076250624,870961152,6789177344,8080035840,0.95,978.65,1914.35,0.15,0.0018000000000029,0.0,11468.8,0.0,1.05,0.0024999999999863,0.0109999999997853,0.0140000000004874,2
1950,0.05,0.05,0.01,16952324096,16926896128,530112512,5076258816,870961152,6788943872,8080035840,0.8500000000000001,972.7,1907.6,0.05,0.0015999999999621,0.0,13312.0,0.0,1.5,0.0029999999999972,0.0095000000002073,0.018499999999949,2
1980,0.03,0.05,0.0,16952324096,16926896128,530583552,5076291584,870969344,6789447680,8080035840,1.3,997.65,2024.45,0.15,0.0020000000000436,0.0,13107.2,0.0,0.95,0.0015000000000327,0.0129999999999199,0.0190000000000509,2
2010,0.02,0.04,0.0,16952324096,16926896128,511746048,5077716992,870973440,6771982336,8080035840,1.3,1235.1,4213.95,0.35,0.0018000000000029,0.0,18841.6,0.0,0.65,0.0034999999999854,0.0319999999999709,0.1335000000000946,2
2040,0.22,0.09,0.01,16952324096,16926896128,530939904,5077778432,870973440,6791299072,8080035840,1.5,994.15,2030.1,0.0,0.0021999999999934,0.0,93388.8,0.0,3.8,0.0020000000000209,0.0125000000001818,0.0180000000000291,2
2070,0.21,0.1,0.02,16952324096,16926896128,527736832,5077843968,870977536,6788169728,8080035840,1.15,960.8,1815.9,0.0,0.0020000000000436,0.0,30310.4,0.0,3.5,0.0035000000000081,0.0125000000000909,0.0144999999998617,2
2100,0.13,0.08,0.01,16952324096,16926896128,527921152,5077843968,870981632,6788358144,8080035840,0.8500000000000001,965.85,1850.65,1.8,0.0011999999999716,0.0,10444.8,0.0,1.35,0.0014999999999872,0.0074999999999818,0.0129999999999199,2
2130,0.08,0.08,0.01,16952324096,16926896128,527425536,5077917696,870981632,6787932160,8080035840,2.95,988.55,1849.05,1.7000000000000002,0.0021999999999934,0.0,17203.2,0.0,2.15,0.000999999999999,0.0205000000000836,0.0130000000004656,2
